Species	Megaptera novaeangliae			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	1586			
No. of DNA sequences	396			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	Jackson, J. A., Steel, D. J., Beerli, P., Congdon, B. C., Olavarria, C., Leslie, M. S., … Baker, C. S. (2014). Global diversity and oceanic divergence of humpback whales (\emph{Megaptera novaeangliae}). Proceedings of the Royal Society of London B Biological Sciences, 281(1786), 20133222. doi: 10.1098/rspb.2013.3222	South Atlantic Ocean	Winter breeding grounds	Dr. Jennifer Jackson, Personal communication 
2	This study	western North Atlantic Ocean	Winter breeding ground	
				
Migrate data file name	Mnovaeanliae_1586mtDNA_396bp_20170902_Migrate_2pop.txt			
Results figure(s)	4, S1 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Mnov3601	North	2		
Mnov3602	North	2		
Mnov3603	North	2		
Mnov3604	North	2		
Mnov3605	North	2		
Mnov3606	North	2		
Mnov3607	North	2		
Mnov3608	North	2		
Mnov3609	North	2		
Mnov3610	North	2		
Mnov3611	North	2		
Mnov3612	North	2		
Mnov3613	North	2		
Mnov3614	North	2		
Mnov3615	North	2		
Mnov3616	North	2		
Mnov3617	North	2		
Mnov3618	North	2		
Mnov3619	North	2		
Mnov3620	North	2		
Mnov3621	North	2		
Mnov3622	North	2		
Mnov3623	North	2		
Mnov3624	North	2		
Mnov3625	North	2		
Mnov3626	North	2		
Mnov3627	North	2		
Mnov3628	North	2		
Mnov3629	North	2		
Mnov3630	North	2		
Mnov3631	North	2		
Mnov3632	North	2		
Mnov3633	North	2		
Mnov3634	North	2		
Mnov3635	North	2		
Mnov3636	North	2		
Mnov3637	North	2		
Mnov3638	North	2		
Mnov3639	North	2		
Mnov3640	North	2		
Mnov3641	North	2		
Mnov3642	North	2		
Mnov3643	North	2		
Mnov3644	North	2		
Mnov3645	North	2		
Mnov3646	North	2		
Mnov3647	North	2		
Mnov3648	North	2		
Mnov3649	North	2		
Mnov3650	North	2		
Mnov3651	North	2		
Mnov3652	North	2		
Mnov3653	North	2		
Mnov3654	North	2		
Mnov3655	North	2		
Mnov3656	North	2		
Mnov3657	North	2		
Mnov3658	North	2		
Mnov3659	North	2		
Mnov3660	North	2		
