Species	Eubalaena spp. (Eaus: E. australis; Egla: E. glacialis)			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	391			
No. of DNA sequences	341			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	This study	South Atlantic	Winter breeding area	
2	Valenzuela, L. O., Sironi, M., Rowntree, V. J., & Seger, J. (2009). Isotopic and genetic evidence for culturally inherited site fidelity to feeding grounds in southern right whales (Eubalaena australis). Molecular Ecology, 18(5), 782–791. doi: 10.1111/j.1365-294X.2008.04069.x	Argentina	Winter breeding area	GenBank
3	Malik, S., Brown, M. W., Kraus, S. D., Knowlton, A. R., Hamilton, P. K., & White, B. N. (1999). Assessment of mitochondrial DNA structuring and nursery use in the North right whale (Eubalaena glacialis). Canadian Journal of Zoology, 77(8), 1217–1222. doi: 10.1139/z99-073	eastern US & Canadian sea border	Summer nursing & feeding area	GenBank
				
Migrate data file name	Eubalaena_750mtDNA_381bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Egla0157	North	3	AF395042	
Egla0158	North	3	AF395042	
Egla0159	North	3	AF395042	
Egla0160	North	3	AF395042	
Egla0161	North	3	AF395042	
Egla0162	North	3	AF395042	
Egla0163	North	3	AF395042	
Egla0164	North	3	AF395042	
Egla0165	North	3	AF395042	
Egla0166	North	3	AF395042	
Egla0167	North	3	AF395042	
Egla0168	North	3	AF395042	
Egla0169	North	3	AF395042	
Egla0170	North	3	AF395042	
Egla0171	North	3	AF395042	
Egla0172	North	3	AF395042	
Egla0173	North	3	AF395042	
Egla0174	North	3	AF395042	
Egla0175	North	3	AF395042	
Egla0176	North	3	AF395042	
Egla0177	North	3	AF395042	
Egla0178	North	3	AF395042	
Egla0179	North	3	AF395042	
Egla0180	North	3	AF395042	
Egla0181	North	3	AF395042	
Egla0182	North	3	AF395042	
Egla0183	North	3	AF395042	
Egla0184	North	3	AF395042	
Egla0185	North	3	AF395042	
Egla0186	North	3	AF395042	
Egla0187	North	3	AF395042	
Egla0188	North	3	AF395042	
Egla0189	North	3	AF395042	
Egla0190	North	3	AF395042	
Egla0191	North	3	AF395042	
Egla0192	North	3	AF395042	
Egla0193	North	3	AF395042	
Egla0194	North	3	AF395042	
Egla0195	North	3	AF395042	
Egla0196	North	3	AF395042	
Egla0197	North	3	AF395042	
Egla0198	North	3	AF395042	
Egla0199	North	3	AF395042	
Egla0200	North	3	AF395042	
Egla0201	North	3	AF395042	
Egla0202	North	3	AF395042	
Egla0203	North	3	AF395042	
Egla0204	North	3	AF395042	
Egla0205	North	3	AF395042	
Egla0206	North	3	AF395042	
Egla0207	North	3	AF395042	
Egla0208	North	3	AF395042	
Egla0209	North	3	AF395042	
Egla0210	North	3	AF395042	
Egla0211	North	3	AF395042	
Egla0212	North	3	AF395042	
Egla0213	North	3	AF395042	
Egla0214	North	3	AF395042	
Egla0215	North	3	AF395042	
Egla0216	North	3	AF395042	
Egla0217	North	3	AF395042	
Egla0218	North	3	AF395042	
Egla0219	North	3	AF395042	
Egla0220	North	3	AF395042	
Egla0221	North	3	AF395042	
Egla0222	North	3	AF395042	
Egla0223	North	3	AF395042	
Egla0224	North	3	AF395042	
Egla0225	North	3	AF395042	
Egla0226	North	3	AF395042	
Egla0227	North	3	AF395042	
Egla0228	North	3	AF395042	
Egla0229	North	3	AF395042	
Egla0230	North	3	AF395042	
Egla0231	North	3	AF395042	
Egla0232	North	3	AF395042	
Egla0233	North	3	AF395042	
Egla0234	North	3	AF395042	
Egla0235	North	3	AF395042	
Egla0236	North	3	AF395042	
Egla0237	North	3	AF395042	
Egla0238	North	3	AF395042	
Egla0239	North	3	AF395042	
Egla0240	North	3	AF395042	
Egla0241	North	3	AF395042	
Egla0242	North	3	AF395042	
Egla0243	North	3	AF395042	
Egla0244	North	3	AF395042	
Egla0245	North	3	AF395042	
Egla0246	North	3	AF395042	
Egla0247	North	3	AF395042	
Egla0248	North	3	AF395042	
Egla0249	North	3	AF395042	
Egla0250	North	3	AF395042	
Egla0251	North	3	AF395042	
Egla0252	North	3	AF395042	
Egla0253	North	3	AF395042	
Egla0254	North	3	AF395042	
Egla0255	North	3	AF395042	
Egla0256	North	3	AF395042	
Egla0257	North	3	AF395042	
Egla0258	North	3	AF395042	
Egla0259	North	3	AF395042	
Egla0260	North	3	AF395042	
Egla0261	North	3	AF395042	
Egla0262	North	3	AF395042	
Egla0263	North	3	AF395042	
Egla0264	North	3	AF395042	
Egla0265	North	3	AF395042	
Egla0266	North	3	AF395042	
Egla0267	North	3	AF395043	
Egla0268	North	3	AF395043	
Egla0269	North	3	AF395043	
				
				
				
				
				
